ID_MOV,FECHA_HORA,N°,NOMBRE,TIPO,CANTIDAD,STOCK_ANTES,STOCK_DESPUES,REFERENCIA,NOTA
23,2026-06-21T06:24:25.509Z,97,FOUR LOKO UNI,INGRESO,14,54,68,AJUSTE_EDICION,Ajuste manual en edicion
22,2026-06-21T05:26:23.074Z,100,HITT 700ML,INGRESO,4,3,7,AJUSTE_EDICION,Ajuste manual en edicion
21,2026-06-21T05:20:10.349Z,94,MONSTER,INGRESO,2,11,13,AJUSTE_EDICION,Ajuste manual en edicion
20,2026-06-20T06:35:55.403Z,146,CIGARROS LUCKY 20 UNI (UNIDAD),SALIDA,6,276,270,AJUSTE_EDICION,Ajuste manual en edicion
19,2026-06-20T06:19:41.999Z,145,CIGARROS LUCKY CAJA X10,SALIDA,1,13,12,AJUSTE_EDICION,Ajuste manual en edicion
18,2026-06-20T06:09:55.244Z,150,CAJA CIGARROS GOLDEN,INGRESO,28,17,45,AJUSTE_EDICION,Ajuste manual en edicion
17,2026-06-20T06:00:30.941Z,150,CAJA CIGARROS GOLDEN,SALIDA,13,30,17,AJUSTE_EDICION,Ajuste manual en edicion
16,2026-06-20T05:59:33.392Z,150,CAJA CIGARROS GOLDEN,SALIDA,12,42,30,AJUSTE_EDICION,Ajuste manual en edicion
15,2026-06-20T05:31:37.048Z,150,CAJA CIGARROS GOLDEN,INGRESO,15,27,42,AJUSTE_EDICION,Ajuste manual en edicion
14,2026-04-22T00:27:00.916Z,10,Vino Mistela,SALIDA,1,3,2,VENTA_DIARIA:3492,test-flow-final
13,2026-04-22T00:24:41.958Z,10,Vino Mistela,SALIDA,1,4,3,VENTA_DIARIA:3491,test-flow-ok
12,2026-04-22T00:04:55.292Z,10,Vino Mistela,SALIDA,1,5,4,VENTA_DIARIA:3490,test-csv-fix
11,2026-04-20T09:07:16.992Z,4,Vino Queirolo rose,SALIDA,1,4,3,VENTA_DIARIA:3489,Venta compuesta (2026-04-20)
10,2026-04-20T07:20:41.142Z,9,Vino Tabernero blanco,SALIDA,1,4,3,VENTA_DIARIA:3488,Venta compuesta (2026-04-20)
9,2026-04-20T07:20:02.337Z,2,vino hacienda abuelo rose,SALIDA,1,5,4,VENTA_DIARIA:3487,Venta compuesta (2026-04-20)
8,2026-04-20T07:16:38.551Z,7,Vino Tabernero borgoña,SALIDA,1,8,7,VENTA_DIARIA:3486,Venta compuesta (2026-04-20)
7,2026-04-20T07:09:12.311Z,7,Vino Tabernero borgoña,SALIDA,1,9,8,VENTA_DIARIA:3485,Venta compuesta (2026-04-20)
6,2026-04-17T04:46:28.261Z,2,vino hacienda abuelo rose,SALIDA,1,6,5,VENTA_DIARIA:3484,test-update-date-create
5,2026-04-17T04:45:45.479Z,1,Vino Señorio Najar,SALIDA,1,1,0,VENTA_DIARIA:3483,test-fecha-fix-port
4,2026-04-17T04:45:34.932Z,1,Vino Señorio Najar,SALIDA,1,2,1,VENTA_DIARIA:3482,test-fecha-fix-job
3,2026-04-17T04:45:06.744Z,1,Vino Señorio Najar,SALIDA,1,3,2,VENTA_DIARIA:3481,test-fecha-venta-fix
2,2026-04-17T04:44:03.097Z,1,Vino Señorio Najar,SALIDA,1,4,3,VENTA_DIARIA:3480,test-codex
1,2026-02-07T06:05:13.717Z,1,Vino Señorio Najar,SALIDA,1,5,4,VENTA_DIARIA:3480,Venta registrada (2026-02-07)
24,2026-06-21T06:37:26.222Z,97,FOUR LOKO UNI,INGRESO,8,68,76,AJUSTE_EDICION,Ajuste manual en edicion
