ID_VENTA,FECHA,NÂ°,NOMBRE,CANTIDAD,PRECIO,TOTAL,TIPO_PAGO,TIPO_PAGO_DETALLE,ORIGEN
3491,2026-04-21,10,Vino Mistela,1,12,12,Efectivo,Efectivo,MANUAL
3490,2026-04-21,10,Vino Mistela,1,12,12,Efectivo,Efectivo,MANUAL
3489,2026-04-20,4,Vino Queirolo rose,1,19,19,Efectivo S/7.00 + Yape S/12.00,Efectivo S/7.00 + Yape S/12.00,MANUAL
3488,2026-04-20,9,Vino Tabernero blanco,1,20,20,Efectivo,Efectivo,MANUAL
3487,2026-04-20,2,vino hacienda abuelo rose,1,20,20,Efectivo,Efectivo,MANUAL
3486,2026-04-20,7,Vino Tabernero borgoña,1,20,20,Efectivo,Efectivo,MANUAL
3485,2026-04-20,7,Vino Tabernero borgoña,1,20,20,Efectivo,Efectivo,MANUAL
3482,2026-04-17,1,Vino Señorio Najar,1,20,20,Efectivo,Efectivo,MANUAL
3481,2026-04-17,1,Vino Señorio Najar,1,20,20,Efectivo,Efectivo,MANUAL
3480,2026-04-17,1,Vino Señorio Najar,1,20,20,Efectivo,Efectivo,MANUAL
3483,2026-04-16,1,Vino Señorio Najar,1,20,20,Efectivo,Efectivo,MANUAL
3484,2026-04-15,2,vino hacienda abuelo rose,1,20,20,Efectivo,Efectivo,MANUAL
3479,2026-02-05,151,ENCENDEDOR,2,1,2,Efectivo,Efectivo,MIGRACION_BASE
3478,2026-02-05,150,CIGARROS GOLDEN CAJAS (- 2uni),2,4,8,Efectivo,Efectivo,MIGRACION_BASE
3477,2026-02-05,147,MARLBORO CANELA,1,26,26,Efectivo,Efectivo,MIGRACION_BASE
3476,2026-02-05,146,CIGARROS LUCKY 20 UNI (UNIDAD),5,26,130,Efectivo,Efectivo,MIGRACION_BASE
3475,2026-02-05,145,CIGARROS LUCKY 10 UNI (CAJAS),1,14,14,Efectivo,Efectivo,MIGRACION_BASE
3474,2026-02-05,138,TRIDENT,1,1.5,1.5,Efectivo,Efectivo,MIGRACION_BASE
3473,2026-02-05,137,PIQUEO,2,2.5,5,Efectivo,Efectivo,MIGRACION_BASE
3472,2026-02-05,134,GATORADE,1,2.5,2.5,Efectivo,Efectivo,MIGRACION_BASE
3471,2026-02-05,122,AGUA CIELO 1L,2,2.5,5,Efectivo,Efectivo,MIGRACION_BASE
3470,2026-02-05,118,COCA 600 ML,1,3.5,3.5,Efectivo,Efectivo,MIGRACION_BASE
3469,2026-02-05,117,COCA COLA 1L,2,5.5,11,Efectivo,Efectivo,MIGRACION_BASE
3468,2026-02-05,115,COCA COLA 2.5L UNI,2,10,20,Efectivo,Efectivo,MIGRACION_BASE
3467,2026-02-05,111,TRES CRUCES UNI,6,4.5,27,Efectivo,Efectivo,MIGRACION_BASE
3466,2026-02-05,102,PILSEN LATA 325ML PEQUEÑA,1,5,5,Efectivo,Efectivo,MIGRACION_BASE
3465,2026-02-05,93,RED BULL,1,9,9,Efectivo,Efectivo,MIGRACION_BASE
3464,2026-02-05,47,FLOR DE CAÑA 4 AÑOS 750 ML,2,40,80,Efectivo,Efectivo,MIGRACION_BASE
3463,2026-02-05,1,Vino Señorio Najar,1,20,20,Efectivo,Efectivo,MIGRACION_BASE
3462,2026-02-04,150,CIGARROS GOLDEN CAJAS (- 2uni),1,4,4,Efectivo,Efectivo,MIGRACION_BASE
3461,2026-02-04,147,MARLBORO CANELA,2,26,52,Efectivo,Efectivo,MIGRACION_BASE
3460,2026-02-04,146,CIGARROS LUCKY 20 UNI (UNIDAD),8,26,208,Efectivo,Efectivo,MIGRACION_BASE
